name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,2359,-4035.78,559,4,9189.56,9537.57,12412.75
step_1,2359,-4058.58,418,3,8953.15,9133.71,11363.34
step_2,2359,-4095.82,280,2,8751.64,8827.37,10366.12
step_3,2359,-4166.82,142,1,8617.63,8635.96,9436.40
