Sample	posterior	ESS(posterior)	likelihood	prior
97000	-3956.0290428000144	5.3	-4250.692110881173	294.6630680811588
98000	-3972.8544315617914	5.3	-4249.415967350028	276.56153578823677
99000	-3965.3144782423046	5.2	-4248.728362589735	283.41388434743055
100000	-3959.961031067922	5.2	-4248.744552980513	288.7835219125909
101000	-3956.7563472847182	5.3	-4245.163880316099	288.4075330313805
102000	-3953.206413065346	5.3	-4245.721534360861	292.51512129551514
103000	-3964.511701312857	5.4	-4259.949530605487	295.43782929263
104000	-3947.706940909993	5.4	-4248.9703796269005	301.26343871690716
105000	-3974.6254095553704	5.4	-4252.999429086856	278.3740195314857
106000	-3978.7986159479187	5.5	-4255.496610779366	276.6979948314476
107000	-3970.5774168323624	5.5	-4249.8213738812765	279.2439570489141
108000	-3981.6871201983813	5.6	-4256.13855791618	274.45143771779834
109000	-3966.740373743882	5.3	-4253.452195709725	286.7118219658427
110000	-3972.2587076645564	5.3	-4256.491724150753	284.2330164861963
111000	-3978.0956262169825	5.4	-4247.471371100298	269.3757448833151
112000	-3976.114061661515	5.4	-4259.482180392903	283.3681187313878
113000	-3976.8921342064887	5.5	-4248.941396538942	272.0492623324536
114000	-3951.211016808519	5.5	-4244.577255370439	293.3662385619199
115000	-3956.0750906068342	5.6	-4240.324398724054	284.24930811721987
116000	-3941.9862353154017	5.6	-4231.008490423257	289.02225510785553
117000	-3953.773857936417	5.7	-4232.996039437686	279.222181501269
118000	-3951.4103102960635	5.7	-4229.068825366727	277.6585150706632
119000	-3966.4575528899886	5.4	-4232.5817781662045	266.124225276216
120000	-3949.7259555178575	5.4	-4230.643483880604	280.9175283627471
121000	-3962.281965796524	5.5	-4230.640951165724	268.3589853691995
122000	-3961.1944850768623	5.5	-4229.095262962736	267.9007778858743
123000	-3949.478320842515	5.6	-4235.623286744037	286.14496590152174
124000	-3949.584643818003	5.6	-4238.923708837444	289.33906501944114
125000	-3930.161310623302	5.7	-4231.384098345349	301.22278772204726
126000	-3957.797007709688	5.7	-4237.287175266158	279.49016755646954
127000	-3964.2190209268624	5.8	-4253.3697864532305	289.15076552636816
128000	-3955.3377574600545	5.8	-4257.994987256061	302.65722979600656
129000	-3951.912555712458	5.8	-4249.152243470419	297.2396877579614
130000	-3937.7299953261554	5.9	-4240.248249214548	302.518253888393
131000	-3951.0619220957406	5.9	-4242.1168955383655	291.054973442625
132000	-3955.04957212406	6.0	-4246.772419225596	291.7228471015365
133000	-3961.807051103762	6.0	-4246.39057159489	284.58352049112835
134000	-3965.5683706531004	6.1	-4243.857337114533	278.28896646143255
135000	-3954.7417811537352	6.1	-4245.1782061914355	290.43642503770036
136000	-3977.5364713141944	6.2	-4248.758404519568	271.22193320537394
137000	-3963.836408615401	6.2	-4245.474485132181	281.6380765167799
138000	-3955.045045789097	6.3	-4237.102488021737	282.0574422326402
139000	-3958.0109028647566	6.5	-4231.033034573337	273.0221317085809
140000	-3946.9295675453927	6.6	-4236.076725912683	289.14715836729056
141000	-3948.755424055541	6.6	-4231.757722586588	283.0022985310469
142000	-3953.1101277303515	6.7	-4241.12211691065	288.0119891802988
143000	-3954.231615416148	6.7	-4241.852374135017	287.6207587188692
144000	-3979.5613297483496	6.8	-4245.86267978293	266.30135003458065
145000	-3958.4946255799755	6.8	-4241.256001029303	282.76137544932726
146000	-3952.4638614943087	6.8	-4235.812828232499	283.3489667381901
147000	-3943.5077456059466	6.9	-4234.741831910771	291.23408630482453
148000	-3950.2497152806272	6.9	-4240.1762415845515	289.9265263039243
149000	-3947.21720537975	7.2	-4239.84897473276	292.63176935301055
150000	-3937.5768803830383	7.3	-4242.153980407083	304.5771000240441
151000	-3942.4587682450924	7.3	-4232.714613033112	290.2558447880197
152000	-3952.5379788487908	7.4	-4232.4761288373475	279.9381499885565
153000	-3951.401779190169	7.4	-4240.50891146589	289.1071322757216
154000	-3941.1472553403037	7.5	-4235.554247704794	294.4069923644902
155000	-3943.7299596471266	7.5	-4231.305045353124	287.57508570599765
156000	-3955.7133046413055	7.6	-4236.631201473272	280.9178968319667
157000	-3956.5827607003325	7.6	-4236.37008136274	279.7873206624076
158000	-3947.5688552219694	7.7	-4240.011042916386	292.4421876944164
159000	-3951.3937420386774	7.9	-4231.865454664345	280.4717126256674
160000	-3953.707548310176	8.0	-4242.752579908536	289.0450315983596
161000	-3934.8465300415533	8.0	-4242.632735432976	307.7862053914227
162000	-3960.0161717324877	8.1	-4239.583607306342	279.56743557385437
163000	-3960.8353637137025	8.1	-4244.659777499685	283.82441378598287
164000	-3949.4347590424095	8.2	-4243.040472369083	293.60571332667337
165000	-3942.0729114022865	8.0	-4240.315644224752	298.24273282246537
166000	-3947.7780113662434	8.1	-4242.05632273425	294.27831136800677
167000	-3959.7299299446954	8.1	-4256.47526985974	296.74533991504495
168000	-3964.0945816699427	8.1	-4249.668713266059	285.57413159611633
169000	-3959.9542135555216	8.4	-4253.974436726829	294.0202231713071
170000	-3966.2607773726504	8.4	-4245.172656357113	278.91187898446225
171000	-3958.155541968383	8.4	-4241.498150641529	283.34260867314543
172000	-3947.981035477153	8.5	-4235.610591090454	287.62955561330136
173000	-3954.970365393824	8.5	-4249.7970064447445	294.82664105092033
174000	-3948.900796639204	8.6	-4262.560234498591	313.65943785938686
175000	-3974.276064195944	8.6	-4256.226786063106	281.95072186716254
176000	-3967.0111603089795	8.6	-4249.265345160618	282.254184851639
177000	-3952.706568332072	8.7	-4238.825719759665	286.11915142759284
178000	-3950.60001239238	8.7	-4241.16068543785	290.5606730454697
179000	-3948.9121380731867	9.0	-4235.451958870838	286.5398207976514
180000	-3954.547220942929	9.0	-4239.8844295457475	285.3372086028183
181000	-3953.8769365291623	9.1	-4233.71797388256	279.84103735339744
182000	-3943.3563298336194	9.1	-4236.837653375289	293.4813235416694
183000	-3948.793528865837	9.1	-4237.898559286654	289.1050304208169
184000	-3972.805824936895	9.2	-4245.457887970197	272.6520630333014
185000	-3955.31786816476	9.2	-4241.178369039623	285.86050087486336
186000	-3954.660459125901	9.3	-4241.30865691355	286.6481977876494
187000	-3949.9405472078056	9.3	-4245.091108127183	295.1505609193776
188000	-3969.714482479153	9.4	-4244.420736673205	274.706254194052
189000	-3969.2001447159887	9.7	-4241.802833243722	272.6026885277328
190000	-3952.2018055413737	9.7	-4240.294194910266	288.0923893688922
191000	-3959.6393253387064	9.8	-4242.440480077164	282.8011547384572
192000	-3946.5859091776574	9.8	-4243.313244586376	296.7273354087185
193000	-3966.1282163493765	9.9	-4239.794135091514	273.66591874213793
194000	-3957.7043235427336	9.9	-4242.715027814724	285.0107042719903
195000	-3975.120324417588	10.0	-4239.704399381574	264.58407496398615
196000	-3974.5265632130113	10.0	-4234.2731616399615	259.74659842694996
197000	-3961.737424262412	10.1	-4227.57682671633	265.8394024539182
198000	-3952.755000598036	10.1	-4230.837130246433	278.0821296483967
199000	-3968.853747808075	10.5	-4243.37251060411	274.51876279603556
200000	-3987.583339678858	10.6	-4242.273418178056	254.69007849919794
201000	-3980.9693329519523	10.6	-4240.191482975083	259.22215002313095
202000	-3953.7662475136926	10.7	-4232.913439680269	279.1471921665765
203000	-3966.4887724661735	10.8	-4238.788779268161	272.30000680198793
204000	-3959.0161023356163	10.8	-4236.12382599388	277.1077236582638
205000	-3977.1984607337913	10.9	-4246.4462611509225	269.24780041713103
206000	-3947.3335048627387	10.9	-4234.0055390213065	286.6720341585679
207000	-3933.906520837693	11.0	-4227.806732590885	293.9002117531924
208000	-3955.65652108112	11.0	-4231.472758443305	275.81623736218506
209000	-3970.160820955763	11.4	-4237.639092842472	267.4782718867085
210000	-3957.6586437913675	11.5	-4234.8986855812545	277.240041789887
211000	-3955.06515072894	11.6	-4246.127900495966	291.06274976702605
212000	-3959.9500144198273	11.6	-4245.379535935266	285.429521515439
213000	-3953.6934747130504	11.7	-4253.489242072583	299.79576735953253
214000	-3946.699918240284	11.7	-4242.899557002295	296.19963876201115
215000	-3959.062809161338	11.8	-4244.545697235155	285.482888073817
216000	-3941.7317030367194	11.9	-4238.390242417096	296.65853938037606
217000	-3939.547419630874	11.9	-4227.575137419747	288.0277177888731
218000	-3968.373656657557	12.0	-4242.872542771234	274.49888611367726
219000	-3957.251891647861	12.5	-4236.5373301497375	279.2854385018765
220000	-3939.9754886070154	12.5	-4230.795538654201	290.8200500471852
221000	-3936.582098370511	12.6	-4235.550142681923	298.9680443114116
222000	-3938.385112650456	12.7	-4235.090141021866	296.70502837141
223000	-3937.522648774734	12.7	-4231.062976747737	293.54032797300255
224000	-3925.368493408589	12.8	-4229.944597746569	304.57610433798027
225000	-3922.5982103476194	12.9	-4224.482992880594	301.8847825329745
226000	-3928.9667010424214	12.9	-4219.318621991898	290.35192094947644
227000	-3944.8279289104667	13.0	-4223.615314037261	278.78738512679433
228000	-3942.5430314349514	13.0	-4224.456182003402	281.9131505684508
229000	-3954.7228936185966	13.6	-4224.181415735131	269.4585221165346
230000	-3962.915373653957	13.6	-4218.07608947505	255.16071582109333
231000	-3955.5378279369543	13.7	-4230.665138035884	275.1273100989302
232000	-3954.218994634347	13.7	-4233.93053762627	279.7115429919233
233000	-3942.8138800665056	13.8	-4232.765749690196	289.9518696236899
234000	-3942.767054830252	13.8	-4231.970438086685	289.2033832564328
235000	-3943.7405822870446	13.9	-4236.716607746727	292.97602545968266
236000	-3935.8445298670604	13.9	-4231.96070926232	296.1161793952596
237000	-3925.0133209730493	14.0	-4233.622674195419	308.6093532223694
238000	-3948.1478324878376	14.0	-4229.352788633058	281.2049561452201
239000	-3951.3053128713254	14.4	-4234.27625128339	282.970938412064
240000	-3953.1220585709193	14.4	-4232.418571221299	279.29651265037984
241000	-3943.770124591226	14.5	-4236.132416385349	292.3622917941227
242000	-3940.5970319222006	14.5	-4235.859226623355	295.26219470115467
243000	-3918.3790658765574	14.5	-4235.724506337793	317.3454404612356
244000	-3942.0081369974955	14.5	-4236.396353937627	294.3882169401316
245000	-3936.895818849102	14.5	-4244.745561351129	307.84974250202725
246000	-3935.466309151511	14.5	-4228.573453655256	293.10714450374553
247000	-3939.622257232927	14.5	-4231.861475845585	292.2392186126579
248000	-3943.2388655113173	14.6	-4222.743473550689	279.50460803937125
249000	-3941.715743218325	14.7	-4231.003236711982	289.2874934936573
250000	-3942.495954366714	14.7	-4223.4050184441985	280.9090640774843
251000	-3950.4976396636002	14.7	-4229.508498293393	279.0108586297931
252000	-3940.0583492494197	14.7	-4218.344414559397	278.2860653099768
253000	-3954.7943393945216	14.7	-4220.608257629087	265.81391823456596
254000	-3937.639492209823	14.7	-4216.81277305597	279.17328084614695
255000	-3938.819800055915	14.7	-4217.72605627061	278.9062562146945
256000	-3925.8090919507654	14.6	-4215.631630625976	289.82253867521075
257000	-3941.6156516825763	14.6	-4228.496921651152	286.8812699685753
258000	-3954.147042663078	14.6	-4227.488030564465	273.34098790138677
259000	-3944.8853922611647	14.1	-4227.796589316462	282.91119705529735
260000	-3952.1684017269695	14.1	-4228.5702770654325	276.40187533846296
261000	-3952.3320865898	14.1	-4234.407677310434	282.0755907206345
262000	-3943.5021807866733	14.1	-4219.3517726477785	275.8495918611053
263000	-3956.8501052639663	14.1	-4236.230653238357	279.3805479743909
264000	-3945.930602305399	14.1	-4236.32159764575	290.3909953403513
265000	-3951.1931567626007	14.1	-4239.950261824727	288.75710506212647
266000	-3959.833270261965	14.2	-4235.731257789504	275.8979875275385
267000	-3959.448805101437	14.2	-4237.282496360411	277.8336912589739
268000	-3982.385851791809	14.4	-4245.567701936222	263.1818501444129
269000	-3957.196176572823	14.3	-4239.756351635002	282.56017506217904
270000	-3960.3276441580506	14.4	-4234.103163204597	273.7755190465464
271000	-3941.4537421969626	14.4	-4235.924680325778	294.4709381288158
272000	-3930.8372684666747	14.4	-4240.272182114103	309.43491364742863
273000	-3939.771004341377	14.4	-4241.326484401	301.5554800596228
274000	-3932.4597827951957	14.3	-4227.038021110952	294.57823831575683
275000	-3947.1781563003924	14.3	-4230.0835338377865	282.90537753739403
276000	-3957.547169893973	14.4	-4231.082140581361	273.53497068738807
277000	-3970.2764523695078	14.5	-4235.7724750364305	265.49602266692284
278000	-3962.9522240368724	14.6	-4231.850951961632	268.89872792475927
279000	-3935.9186496087473	14.3	-4227.073597256354	291.1549476476071
280000	-3962.419477399644	14.4	-4233.891797109875	271.47231971023126
281000	-3951.979335806521	14.4	-4234.2151617454865	282.23582593896566
282000	-3959.141503374929	14.4	-4233.437476449994	274.2959730750653
283000	-3946.7833911860516	14.5	-4240.521070229613	293.73767904356083
284000	-3943.6496517008536	14.5	-4233.587717850497	289.9380661496436
285000	-3939.9569797970266	14.4	-4226.365091281904	286.40811148487717
286000	-3933.9714780245486	14.4	-4231.242790021425	297.2713119968769
287000	-3948.6558219908966	14.4	-4231.700196171866	283.0443741809693
288000	-3959.677524197692	14.5	-4236.658655103313	276.9811309056211
289000	-3946.5311733941353	14.4	-4230.264537272734	283.73336387859865
290000	-3947.924142014317	14.4	-4225.881974061784	277.9578320474664
291000	-3931.0161194453412	14.4	-4218.418587230564	287.40246778522305
292000	-3949.6279149875804	14.4	-4224.094891800517	274.46697681293654
293000	-3941.943941377407	14.4	-4226.28073679479	284.33679541738286
294000	-3940.9828351179967	14.4	-4228.906171781689	287.92333666369257
295000	-3930.84575672562	14.5	-4222.6172703750735	291.77151364945325
296000	-3950.6388699539098	14.5	-4229.183302145973	278.54443219206354
297000	-3956.072964571153	14.5	-4233.683802998588	277.6108384274352
298000	-3951.4333665222084	14.6	-4227.506126878526	276.07276035631725
299000	-3964.668938725245	14.3	-4234.1250997244415	269.45616099919636
300000	-3971.7907051771817	14.4	-4228.5371032587145	256.74639808153285
301000	-3957.7804488752	14.5	-4236.9027734958445	279.12232462064475
302000	-3966.741061186522	14.6	-4227.133307337471	260.3922461509489
303000	-3953.541114046442	14.6	-4219.622818595374	266.08170454893195
304000	-3957.640632370119	14.7	-4219.829076258518	262.18844388839943
305000	-3958.183023338955	14.7	-4222.570762006032	264.387738667077
306000	-3956.735080037293	14.8	-4225.86742077123	269.13234073393727
307000	-3959.1926559064163	14.8	-4226.40133812438	267.208682217964
308000	-3961.7023702532338	14.9	-4225.429481100896	263.72711084766195
309000	-3955.4041846123514	15.3	-4220.075828220568	264.6716436082166
310000	-3969.255957507016	15.4	-4229.340871471526	260.08491396451035
311000	-3958.117411096662	15.5	-4221.953775970551	263.8363648738888
312000	-3960.901107649213	15.6	-4225.6923664756905	264.7912588264776
313000	-3964.397702445236	15.7	-4220.7522655595685	256.3545631143326
314000	-3973.2726348219503	15.8	-4233.418072487793	260.14543766584325
315000	-3961.209389952761	15.9	-4227.932619518898	266.723229566137
316000	-3946.612567615828	15.9	-4222.116886831732	275.5043192159036
317000	-3952.3465832467346	16.0	-4224.780004474193	272.4334212274591
318000	-3943.6980722944704	16.1	-4232.928850062943	289.2307777684723
319000	-3928.074451739173	16.5	-4227.390339663004	299.31588792383104
320000	-3935.7639493209685	16.6	-4229.0217877411	293.2578384201312
321000	-3947.5898730445456	16.6	-4233.23778754774	285.64791450319416
322000	-3933.3222222012255	16.7	-4238.354149103517	305.031926902291
323000	-3943.138575462985	16.8	-4216.524668328543	273.386092865558
324000	-3927.696940312959	16.9	-4226.825042067406	299.1281017544464
325000	-3925.3183032469815	17.0	-4228.678486976503	303.36018372952196
326000	-3931.154080236029	17.1	-4220.9562990606455	289.8022188246164
327000	-3938.645497715884	17.1	-4231.889226734551	293.24372901866684
328000	-3934.2031922864053	17.1	-4228.226187276666	294.0229949902603
329000	-3931.5851044512765	17.6	-4227.753035802724	296.1679313514476
330000	-3945.497566713615	17.6	-4234.182923973714	288.68535726009947
331000	-3943.08073053701	17.6	-4234.786353244555	291.7056227075452
332000	-3934.866113305645	17.6	-4220.762066509743	285.8959532040979
333000	-3943.336174259931	17.7	-4229.250486567844	285.9143123079128
334000	-3942.5202289185695	17.7	-4225.3124796755865	282.7922507570169
335000	-3935.5100047047226	17.7	-4224.240169454011	288.7301647492888
336000	-3935.3029171878125	17.7	-4225.873304679652	290.57038749183994
337000	-3949.240425815119	17.7	-4236.8677474446995	287.6273216295803
338000	-3937.0715757395924	17.8	-4228.170381444185	291.09880570459285
339000	-3954.6995645074444	18.0	-4235.952676348684	281.2531118412394
340000	-3942.447726436567	18.0	-4232.3249998513165	289.87727341474965
341000	-3929.040955505892	18.1	-4233.249951267609	304.20899576171666
342000	-3932.9328167835893	18.0	-4232.286737407965	299.35392062437575
343000	-3926.346774481363	18.0	-4227.709838682668	301.36306420130535
344000	-3943.118607961669	18.0	-4230.123771077519	287.0051631158505
345000	-3957.3771911550743	18.1	-4235.625887001533	278.2486958464582
346000	-3958.499378835939	18.2	-4236.9428722496805	278.44349341374163
347000	-3943.9919924204837	18.1	-4232.953934108784	288.9619416883003
348000	-3929.9783131183262	18.1	-4234.766920742656	304.78860762432987
349000	-3955.944085682281	18.6	-4243.537707446185	287.5936217639039
350000	-3936.9852966213807	18.5	-4231.503854375717	294.5185577543366
351000	-3932.590300839752	18.4	-4233.645451413374	301.05515057362146
352000	-3930.190705255779	18.3	-4230.947289444774	300.75658418899474
353000	-3936.3149882029807	18.2	-4228.543310000935	292.2283217979543
354000	-3942.673845789992	18.1	-4226.651298492374	283.97745270238215
355000	-3963.5054283603417	18.3	-4231.6148191605635	268.10939080022183
356000	-3950.4239960469035	18.3	-4235.538844056459	285.11484800955594
357000	-3948.5870015581063	18.3	-4232.401710291021	283.8147087329149
358000	-3952.965420970074	18.3	-4226.904131250004	273.9387102799299
359000	-3960.6849924959224	18.6	-4230.040627546847	269.35563505092415
360000	-3945.520380343365	18.5	-4229.0363119391895	283.5159315958242
361000	-3953.0501999571015	18.5	-4231.943825205319	278.8936252482173
362000	-3940.551961468694	18.4	-4236.493948634224	295.9419871655295
363000	-3933.794782237858	18.3	-4235.595204674619	301.80042243676104
364000	-3945.3290272386475	18.2	-4235.330290327578	290.0012630889307
365000	-3958.054325434501	18.3	-4230.597742060424	272.543416625923
366000	-3959.438614650104	18.5	-4232.416452256887	272.9778376067835
367000	-3944.2073851378855	18.4	-4226.6566691587295	282.44928402084395
368000	-3950.187567878309	18.5	-4220.14156109047	269.9539932121605
369000	-3935.691693456661	10.0	-4228.019604251392	292.32791079473066
370000	-3949.5018771133973	10.0	-4231.024817093589	281.52293998019195
371000	-3938.6905743929865	10.0	-4222.070310647402	283.3797362544154
372000	-3935.5142420070733	9.9	-4237.100241830384	301.5859998233111
373000	-3942.388053957931	9.9	-4241.749268146977	299.36121418904594
374000	-3956.0946389015353	9.9	-4243.388443814235	287.29380491269984
375000	-3952.2439310535988	10.0	-4234.140684186309	281.89675313271016
376000	-3957.288987911131	10.0	-4235.181752879794	277.8927649686629
377000	-3947.470585831485	10.0	-4229.731250309316	282.26066447783097
378000	-3955.8171175611797	10.1	-4226.360260243508	270.54314268232787
379000	-3937.94012523197	10.1	-4225.729957351767	287.78983211979687
380000	-3935.148888306016	10.1	-4221.721834497416	286.57294619140015
381000	-3927.903708533002	10.0	-4227.8573037924125	299.9535952594104
382000	-3948.2968378088804	10.0	-4235.021563496467	286.7247256875867
383000	-3932.622400091903	9.9	-4230.829028609001	298.20662851709875
384000	-3932.922625130248	9.8	-4232.202053377768	299.2794282475197
385000	-3945.0896051515074	9.7	-4233.576197310418	288.4865921589108
386000	-3932.10783730603	10.0	-4224.51858089026	292.4107435842298
387000	-3925.731686984146	9.9	-4228.3500185886305	302.61833160448435
388000	-3924.172503644206	9.9	-4228.32608997852	304.15358633431407
389000	-3936.445725276937	9.9	-4219.381535256183	282.9358099792461
390000	-3938.845981458311	9.9	-4225.858731459904	287.0127500015934
391000	-3947.2715584926445	9.9	-4234.43030483378	287.15874634113504
392000	-3947.2125764894136	9.9	-4232.795031549518	285.5824550601046
393000	-3955.3580495721144	9.9	-4233.214823766761	277.8567741946463
394000	-3935.5680893574254	9.9	-4226.384564949476	290.8164755920505
395000	-3929.17499509516	9.9	-4226.7702157891745	297.59522069401464
396000	-3934.517995427433	9.8	-4228.08950002605	293.5715045986165
397000	-3944.400161645243	9.8	-4229.357654986882	284.9574933416392
398000	-3951.930579957339	9.8	-4228.908003921978	276.9774239646391
399000	-3948.3254183461286	9.9	-4235.300552376439	286.9751340303103
400000	-3940.5799832467633	9.9	-4227.260760419392	286.6807771726286
401000	-3941.9563763956376	9.8	-4222.788399866002	280.832023470364
402000	-3966.9069176328103	10.0	-4227.429522992837	260.5226053600265
403000	-3956.3115850132367	10.1	-4217.759642984589	261.4480579713524
404000	-3944.784349639499	10.1	-4217.6992068259915	272.9148571864924
405000	-3942.1921767404447	10.0	-4210.580547448558	268.38837070811314
406000	-3949.64070312769	10.0	-4212.600271845842	262.95956871815235
407000	-3952.807519785254	10.1	-4221.133209833713	268.32569004845936
408000	-3955.6112793632697	10.1	-4224.58775328304	268.9764739197705
409000	-3963.3837057364935	10.4	-4222.908027858356	259.5243221218623
410000	-3943.685007518152	10.4	-4217.843598243358	274.1585907252067
411000	-3946.6342547417844	10.4	-4223.988919151821	277.3546644100369
412000	-3937.439436873587	10.3	-4238.617576830668	301.1781399570814
413000	-3934.9555731054757	10.3	-4229.91413507768	294.95856197220417
