Sample	posterior	ESS(posterior)	likelihood	prior
0	-24209.4541513528	N	-24073.073207818245	-136.38094353455244
1000	-6759.058743334853	2.0	-6841.0763429204835	82.017599585631
2000	-6015.170871015389	3.0	-6145.1953129786025	130.02444196321343
3000	-5665.122421600371	4.0	-5786.553564810625	121.43114321025415
4000	-5555.8366897579845	5.0	-5683.531024415222	127.6943346572378
5000	-5485.938606417068	6.0	-5613.5998487379775	127.66124232091022
6000	-5381.140652233061	7.0	-5516.184956020892	135.04430378783113
7000	-5266.5458761521195	7.5	-5423.708576576743	157.16270042462423
8000	-5118.671132345084	8.1	-5278.616585103833	159.94545275874924
9000	-5054.581314432452	3.6	-5221.340931829077	166.75961739662475
10000	-4792.911226729942	3.4	-4977.41543687473	184.50421014478823
11000	-4676.103768608323	3.2	-4854.031325247844	177.92755663952042
12000	-4645.053751711923	3.1	-4828.853204437283	183.7994527253608
13000	-4611.764569646201	3.0	-4807.989163428114	196.22459378191266
14000	-4591.955295195441	3.0	-4779.060855999275	187.10556080383444
15000	-4562.839046096716	3.0	-4768.709345566972	205.87029947025633
16000	-4556.909707388469	2.9	-4753.190557191413	196.2808498029442
17000	-4556.944349833065	2.8	-4752.7996746564295	195.85532482336484
18000	-4556.5563708567215	2.9	-4754.884336033809	198.3279651770873
19000	-4498.2235836575655	2.6	-4709.171466943459	210.9478832858934
20000	-4298.831391289604	2.6	-4508.48697651659	209.65558522698706
21000	-4225.652422337497	2.7	-4444.5211365038185	218.86871416632113
22000	-4181.440316847042	2.8	-4420.888987010816	239.448670163774
23000	-4177.899528317219	2.9	-4412.602342413219	234.70281409599986
24000	-4139.064469003336	2.9	-4386.103295706692	247.0388267033559
25000	-4128.848903965339	2.9	-4389.028861784493	260.17995781915414
26000	-4134.958223246651	2.9	-4390.263500717955	255.30527747130438
27000	-4118.884815079853	2.9	-4379.022849830482	260.1380347506288
28000	-4125.862145269311	2.9	-4381.794600448506	255.93245517919448
29000	-4133.484153561285	2.9	-4386.508603975241	253.02445041395663
30000	-4106.495574170493	2.9	-4380.399581718272	273.90400754778005
31000	-4095.7624163792616	2.8	-4368.415120313741	272.6527039344792
32000	-4089.7658077406904	2.8	-4369.750177051537	279.9843693108468
33000	-4082.29813952948	2.9	-4370.557933819732	288.2597942902521
34000	-4090.155258434054	2.8	-4371.392605745701	281.23734731164734
35000	-4093.644491373588	2.8	-4368.362050624464	274.71755925087615
36000	-4090.555129817229	2.9	-4373.646682588014	283.09155277078514
37000	-4065.630244894025	2.9	-4367.70803493337	302.0777900393452
38000	-4079.4243273076368	2.9	-4379.876819574519	300.45249226688213
39000	-4063.2136805267533	2.9	-4343.305668945981	280.0919884192278
40000	-4050.9903578118674	3.0	-4337.841260959772	286.85090314790455
41000	-4064.8385158830147	3.0	-4346.488144687834	281.6496288048196
42000	-4053.177653786841	3.0	-4333.140752289548	279.96309850270694
43000	-4060.502756852535	3.1	-4339.210995745873	278.70823889333826
44000	-4058.153005847361	3.1	-4339.521443520395	281.3684376730343
45000	-4064.323061224338	3.1	-4350.265685542692	285.9426243183545
46000	-4084.3050410551077	3.2	-4355.1303898340175	270.82534877890987
47000	-4011.0252297303277	3.2	-4292.458994848267	281.43376511793923
48000	-3979.4354914242685	3.3	-4272.1132069648365	292.6777155405681
49000	-3972.9600804851057	3.3	-4250.471933316869	277.51185283176306
50000	-3950.9859758101697	3.4	-4247.732360218776	296.74638440860633
51000	-3935.087499726144	3.4	-4241.4868694875595	306.3993697614156
52000	-3949.5081340316733	3.5	-4248.417461471711	298.90932744003777
53000	-3945.2137852837545	3.5	-4246.837363175456	301.62357789170136
54000	-3939.7214801144464	3.6	-4243.129202219986	303.4077221055394
55000	-3943.2983070814435	3.6	-4241.075084228381	297.77677714693704
56000	-3959.883502199637	3.6	-4235.578020186064	275.69451798642757
57000	-3962.1313550043856	3.7	-4234.794298939221	272.6629439348358
58000	-3948.6862161654117	3.7	-4240.031031111339	291.3448149459272
59000	-3949.282159906141	3.8	-4238.170286429705	288.8881265235643
60000	-3945.874516937325	3.8	-4229.564313701636	283.6897967643107
61000	-3956.221042747833	3.8	-4235.366288816192	279.1452460683584
62000	-3954.122371103884	3.9	-4236.126914241472	282.0045431375884
63000	-3981.027239623795	3.9	-4244.324752950174	263.297513326379
64000	-3961.343366196759	3.9	-4236.603146852138	275.2597806553792
65000	-3953.3607785575905	3.9	-4240.724514308784	287.36373575119336
66000	-3944.075551380784	4.0	-4236.172383401768	292.09683202098375
67000	-3932.491878235068	4.0	-4231.331531235081	298.83965300001256
68000	-3936.9733503079196	4.0	-4238.452950641642	301.47960033372254
69000	-3938.6820192047035	4.0	-4234.591358225292	295.90933902058896
70000	-3955.5905917432337	4.0	-4227.309063178212	271.71847143497854
71000	-3947.876004722197	4.0	-4232.785245605931	284.9092408837338
72000	-3951.0282021091984	4.0	-4237.030032044292	286.00182993509344
73000	-3953.5663361158586	4.1	-4237.778911844185	284.2125757283266
74000	-3956.567774923564	4.1	-4235.257279790946	278.6895048673821
75000	-3955.1994492807044	4.1	-4234.910607068071	279.71115778736663
76000	-3946.917005843502	4.1	-4240.214697299125	293.2976914556232
77000	-3931.2913610539745	4.2	-4230.938579754767	299.6472187007919
78000	-3938.880604651296	4.2	-4229.7901839706365	290.9095793193407
79000	-3948.8144025649945	4.1	-4232.055017930828	283.240615365834
80000	-3936.0994439603237	4.1	-4233.419802305063	297.3203583447393
81000	-3939.2010956852237	4.1	-4230.040450506957	290.8393548217336
82000	-3949.6967233884525	4.1	-4241.72874101571	292.03201762725723
83000	-3946.2068849052625	4.2	-4227.891452148176	281.6845672429131
84000	-3948.359575417886	4.2	-4230.380345577299	282.02077015941245
85000	-3962.396338076434	4.2	-4228.6346654075705	266.23832733113676
86000	-3957.6618651332274	4.2	-4236.589328416359	278.92746328313217
87000	-3937.803422019098	4.2	-4231.176576156266	293.3731541371678
88000	-3942.227279887177	4.3	-4227.8769423181775	285.6496624310006
89000	-3929.4687224154322	4.2	-4221.981452822446	292.51273040701403
90000	-3937.950605441972	4.2	-4219.668973965476	281.7183685235036
91000	-3939.3033812548147	4.2	-4233.1172398247845	293.8138585699699
92000	-3949.195465640119	4.2	-4227.789917310844	278.5944516707254
93000	-3930.7835515205693	4.3	-4222.169311340285	291.3857598197161
94000	-3922.413889471975	4.3	-4219.389131517126	296.97524204515094
95000	-3937.323788774682	4.3	-4222.956870472941	285.63308169825916
96000	-3931.3808785529254	4.3	-4225.270545377356	293.88966682443083
97000	-3931.4837050884025	4.3	-4226.855891816716	295.3721867283139
98000	-3935.3639685646226	4.4	-4221.935763539935	286.5717949753121
99000	-3942.795242736018	4.2	-4232.79465096261	289.99940822659215
100000	-3950.264172063373	4.2	-4236.625563861786	286.36139179841314
101000	-3961.485430021817	4.3	-4243.066561183402	281.581131161585
102000	-3953.866054715714	4.3	-4244.587582730739	290.7215280150251
103000	-3937.6902925912373	4.3	-4233.206676087518	295.51638349628064
104000	-3953.5659457684965	4.3	-4236.393042986189	282.8270972176927
105000	-3948.4991818511003	4.4	-4231.997184993146	283.49800314204583
106000	-3947.881280764229	4.4	-4232.743247216918	284.86196645268876
107000	-3941.718339749975	4.4	-4230.62754526672	288.90920551674475
108000	-3937.4593283074146	4.5	-4230.678210782067	293.2188824746529
109000	-3948.2220708135487	4.5	-4225.310931461132	277.08886064758315
110000	-3953.2507507910104	4.5	-4230.595374873455	277.344624082444
111000	-3958.706191852524	4.5	-4238.542493449063	279.8363015965388
112000	-3941.507512509582	4.6	-4234.341249401423	292.83373689184106
113000	-3958.6345836639657	4.6	-4230.961381908283	272.3267982443178
114000	-3945.223090177011	4.6	-4228.89523621429	283.67214603727905
115000	-3950.371180302911	4.6	-4230.323601343073	279.95242104016245
116000	-3942.28305476799	4.7	-4230.560980350532	288.2779255825421
117000	-3936.473292702966	4.7	-4230.732394383235	294.25910168026934
118000	-3948.616072937757	4.7	-4234.779325295115	286.16325235735786
119000	-3956.7852995379144	4.8	-4241.298573912588	284.51327437467364
120000	-3946.704387573513	4.9	-4233.80496741694	287.1005798434265
121000	-3943.013612985354	4.9	-4230.655924276782	287.64231129142775
122000	-3935.469437091653	4.9	-4230.0586656620535	294.58922857040056
123000	-3950.3939540116608	5.0	-4235.1289425373125	284.7349885256517
124000	-3935.8025150808076	5.0	-4230.206776874414	294.40426179360617
125000	-3935.194271660418	5.0	-4227.619093717799	292.42482205738065
126000	-3956.8707744848293	5.1	-4238.171881169636	281.30110668480717
127000	-3945.8539804772	5.1	-4239.8823890576	294.02840858040065
128000	-3950.624088569223	5.1	-4238.375251914956	287.7511633457323
129000	-3951.9997261665435	5.2	-4243.328535973143	291.328809806599
130000	-3939.0274125806363	5.3	-4241.1824361894505	302.1550236088141
131000	-3945.48495861088	5.3	-4238.9681813343705	293.4832227234907
132000	-3924.4088939574885	5.3	-4229.635774592609	305.22688063512044
133000	-3931.25925194712	5.4	-4235.859871052791	304.6006191056711
134000	-3951.665924456047	5.4	-4234.577764307396	282.9118398513494
135000	-3963.6967720044813	5.4	-4246.562978130853	282.86620612637114
136000	-3968.19862681541	5.5	-4244.547666941793	276.3490401263828
137000	-3951.469861019667	5.5	-4238.048115121217	286.5782541015502
138000	-3941.492917542096	5.6	-4242.272237485363	300.7793199432667
139000	-3950.3562843457494	5.7	-4240.021485225301	289.665200879552
140000	-3965.0864579675626	5.7	-4235.380483007369	270.29402503980623
141000	-3954.110507105443	5.7	-4240.251389986114	286.14088288067103
142000	-3951.0512336561965	5.8	-4236.925180889888	285.8739472336917
